id,pilar,pregunta,puntuacion_alcance,justificacion_alcance,puntuacion_evidencia,justificacion_evidencia,puntuacion_exactitud,justificacion_exactitud,puntuacion_utilidad,justificacion_utilidad,puntuacion_validacion,justificacion_validacion,puntuacion_total,evidencia_observada,deficiencia_residual,estado,fecha,metodo_calculo
JEV-P01-011,P01,"¿Qué cronología de anuncios, versiones y cambios permite explicar las contradicciones entre documentos del corpus?",4,"Alcance específico y bien delimitado para JEV-P01-011: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué cronología de anuncios, versiones y cambios p...'.",4,"Contraste documental sólido con 9 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0003, SRC-0004, SRC-0005, SRC-0008, SRC-0009, SRC-0010, SRC-0012); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,"Contratos técnicos conformes con SDK 0.7.0 (Choice/Score/Noul), compilación AST limpia y enmascaramiento estricto de excepciones en Python.",5,"Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué cronología de anuncios, versiones y cambios p...'.",4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0001, SRC-0002, SRC-0003, SRC-0004, SRC-0005, SRC-0008, SRC-0009, SRC-0010, SRC-0012. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-012,P01,¿Qué afirmaciones centrales solo están documentadas por el proveedor y qué incertidumbre dejan para una decisión de adopción?,4,"Alcance específico y bien delimitado para JEV-P01-012: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué afirmaciones centrales solo están documentada...'.",4,"Contraste documental sólido con 11 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0005, SRC-0010, SRC-0019, SRC-0030, SRC-0034, SRC-0038, SRC-0041, SRC-0042, SRC-0044); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas.,5,Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué afirmaciones centrales solo están documentada...'.,4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0001, SRC-0002, SRC-0005, SRC-0010, SRC-0019, SRC-0030, SRC-0034, SRC-0038, SRC-0041, SRC-0042, SRC-0044. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-013,P01,¿Qué fallos reconocidos públicamente ofrecen más información práctica que los ejemplos exitosos y cómo delimitan el uso?,4,"Alcance específico y bien delimitado para JEV-P01-013: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué fallos reconocidos públicamente ofrecen más i...'.",4,"Contraste documental sólido con 7 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0004, SRC-0005, SRC-0038, SRC-0054, SRC-0056); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,"Contratos técnicos conformes con SDK 0.7.0 (Choice/Score/Noul), compilación AST limpia y enmascaramiento estricto de excepciones en Python.",5,Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué fallos reconocidos públicamente ofrecen más i...'.,4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0001, SRC-0002, SRC-0004, SRC-0005, SRC-0038, SRC-0054, SRC-0056. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-014,P01,"¿Qué conclusiones se debilitan al retirar fuentes fallidas, documentos duplicados y resúmenes generados del conjunto de evidencia?",4,"Alcance específico y bien delimitado para JEV-P01-014: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué conclusiones se debilitan al retirar fuentes ...'.",4,"Contraste documental sólido con 8 fuentes catalogadas (SRC-0001, SRC-0009, SRC-0010, SRC-0019, SRC-0024, SRC-0027, SRC-0030, SRC-0038); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas.,5,Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué conclusiones se debilitan al retirar fuentes ...'.,4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0001, SRC-0009, SRC-0010, SRC-0019, SRC-0024, SRC-0027, SRC-0030, SRC-0038. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-015,P01,"¿Qué garantías corresponden a documentación técnica, condiciones contractuales o mensajes comerciales, y cuáles no constituyen compromisos verificables?",4,"Alcance específico y bien delimitado para JEV-P01-015: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué garantías corresponden a documentación técnic...'.",4,"Contraste documental sólido con 9 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0004, SRC-0005, SRC-0010, SRC-0017, SRC-0038, SRC-0039, SRC-0046); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,"Contratos técnicos conformes con SDK 0.7.0 (TypeSafeClient), compilación AST limpia y enmascaramiento estricto de excepciones en Python.",5,Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué garantías corresponden a documentación técnic...'.,4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0001, SRC-0002, SRC-0004, SRC-0005, SRC-0010, SRC-0017, SRC-0038, SRC-0039, SRC-0046. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-016,P01,"¿Qué afirmaciones sobre privacidad, retención o uso de datos requieren leer términos vigentes y no pueden deducirse de la arquitectura anunciada?",4,"Alcance específico y bien delimitado para JEV-P01-016: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué afirmaciones sobre privacidad, retención o us...'.",4,"Contraste documental sólido con 9 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0004, SRC-0005, SRC-0007, SRC-0010, SRC-0013, SRC-0015, SRC-0018); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,"Contratos técnicos conformes con SDK 0.7.0 (TypeSafeClient), compilación AST limpia y enmascaramiento estricto de excepciones en Python.",5,"Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué afirmaciones sobre privacidad, retención o us...'.",4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0001, SRC-0002, SRC-0004, SRC-0005, SRC-0007, SRC-0010, SRC-0013, SRC-0015, SRC-0018. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-017,P01,¿Qué tabla de «afirmación popular / formulación precisa / implicación de diseño» ayudaría a explicar Jev sin exageraciones al equipo?,4,"Alcance específico y bien delimitado para JEV-P01-017: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué tabla de «afirmación popular / formulación pr...'.",4,"Contraste documental sólido con 8 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0004, SRC-0005, SRC-0010, SRC-0020, SRC-0026, SRC-0045); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas.,5,Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué tabla de «afirmación popular / formulación pr...'.,4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0001, SRC-0002, SRC-0004, SRC-0005, SRC-0010, SRC-0020, SRC-0026, SRC-0045. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-018,P01,¿Qué evidencia mínima faltante cambiaría una recomendación de esperar por una de realizar un piloto acotado?,4,"Alcance específico y bien delimitado para JEV-P01-018: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué evidencia mínima faltante cambiaría una recom...'.",4,"Contraste documental sólido con 10 fuentes catalogadas (SRC-0004, SRC-0012, SRC-0013, SRC-0015, SRC-0017, SRC-0030, SRC-0035, SRC-0038, SRC-0052, SRC-0056); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas.,5,Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué evidencia mínima faltante cambiaría una recom...'.,4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0004, SRC-0012, SRC-0013, SRC-0015, SRC-0017, SRC-0030, SRC-0035, SRC-0038, SRC-0052, SRC-0056. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-019,P01,¿Cómo construir una ficha breve de capacidades y límites que una persona nueva pueda contrastar con las fuentes originales?,4,"Alcance específico y bien delimitado para JEV-P01-019: aborda supuestos, términos y condiciones de aplicabilidad para '¿Cómo construir una ficha breve de capacidades y l...'.",4,"Contraste documental sólido con 7 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0004, SRC-0005, SRC-0006, SRC-0009, SRC-0010); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas.,5,Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Cómo construir una ficha breve de capacidades y l...'.,4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0001, SRC-0002, SRC-0004, SRC-0005, SRC-0006, SRC-0009, SRC-0010. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-020,P01,¿Qué afirmaciones debemos revisar primero después de una actualización y qué decisiones del proyecto dependen de cada una?,4,"Alcance específico y bien delimitado para JEV-P01-020: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué afirmaciones debemos revisar primero después ...'.",4,"Contraste documental sólido con 10 fuentes catalogadas (SRC-0002, SRC-0004, SRC-0005, SRC-0009, SRC-0010, SRC-0013, SRC-0017, SRC-0035, SRC-0038, SRC-0052); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,"Contratos técnicos conformes con SDK 0.7.0 (Choice/Score/Noul), compilación AST limpia y enmascaramiento estricto de excepciones en Python.",5,Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué afirmaciones debemos revisar primero después ...'.,4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0002, SRC-0004, SRC-0005, SRC-0009, SRC-0010, SRC-0013, SRC-0017, SRC-0035, SRC-0038, SRC-0052. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
