id,pilar,prioridad,notebook_principal,estado,responsable,archivo_respuesta,fecha_revision,puntuacion_autoevaluacion,puntuacion_revision_independiente,resultado_revision,bloqueo
JEV-P01-011,P01,B,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-011.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P01-012,P01,B,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-012.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P01-013,P01,B,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-013.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P01-014,P01,B,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-014.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P01-015,P01,B,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-015.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P01-016,P01,B,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-016.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P01-017,P01,B,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-017.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P01-018,P01,B,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-018.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P01-019,P01,B,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-019.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P01-020,P01,B,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-020.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-001,P02,A,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-001.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-002,P02,A,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-002.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-003,P02,A,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-003.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-004,P02,A,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-004.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-005,P02,A,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-005.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-006,P02,B,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-006.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-007,P02,B,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-007.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-008,P02,B,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-008.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-009,P02,B,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-009.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-010,P02,B,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-010.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-011,P02,B,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-011.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-012,P02,B,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-012.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-013,P02,B,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-013.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-014,P02,B,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-014.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-015,P02,B,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-015.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-016,P02,B,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-016.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-017,P02,B,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-017.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-018,P02,B,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-018.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-019,P02,B,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-019.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P02-020,P02,B,https://notebook.google.com/notebook/079161fb-3da9-4c89-ba27-ffa707e7fca0,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P02/JEV-P02-020.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-001,P03,A,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-001.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-002,P03,A,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-002.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-003,P03,A,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-003.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-004,P03,A,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-004.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-005,P03,A,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-005.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-006,P03,B,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-006.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-007,P03,B,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-007.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-008,P03,B,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-008.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-009,P03,B,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-009.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-010,P03,B,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-010.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-011,P03,B,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-011.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-012,P03,B,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-012.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-013,P03,B,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-013.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-014,P03,B,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-014.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-015,P03,B,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-015.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-016,P03,B,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-016.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-017,P03,B,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-017.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-018,P03,B,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-018.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-019,P03,B,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-019.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P03-020,P03,B,https://notebook.google.com/notebook/420bc955-32d2-44bf-b9ad-e3b8a7874d43,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P03/JEV-P03-020.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-001,P04,A,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-001.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-002,P04,A,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-002.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-003,P04,A,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-003.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-004,P04,A,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-004.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-005,P04,A,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-005.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-006,P04,B,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-006.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-007,P04,B,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-007.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-008,P04,B,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-008.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-009,P04,B,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-009.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-010,P04,B,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-010.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-011,P04,B,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-011.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-012,P04,B,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-012.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-013,P04,B,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-013.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-014,P04,B,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-014.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-015,P04,B,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-015.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-016,P04,B,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-016.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-017,P04,B,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-017.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-018,P04,B,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-018.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-019,P04,B,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-019.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P04-020,P04,B,https://notebook.google.com/notebook/97480264-ff2c-4816-9dec-4b8ce071500a,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P04/JEV-P04-020.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-001,P05,A,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-001.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-002,P05,A,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-002.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-003,P05,A,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-003.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-004,P05,A,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-004.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-005,P05,A,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-005.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-006,P05,B,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-006.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-007,P05,B,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-007.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-008,P05,B,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-008.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-009,P05,A,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-009.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-010,P05,A,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-010.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-011,P05,B,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-011.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-012,P05,B,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-012.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-013,P05,B,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-013.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-014,P05,B,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-014.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-015,P05,B,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-015.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-016,P05,B,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-016.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-017,P05,B,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-017.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-018,P05,B,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-018.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-019,P05,B,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-019.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P05-020,P05,B,https://notebook.google.com/notebook/d65c48bf-c7d3-44d4-b0cf-79842f3df7dc,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P05/JEV-P05-020.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P06-001,P06,A,https://notebook.google.com/notebook/9b87f42f-e3f9-49ca-afb4-affe7c6259da,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P06/JEV-P06-001.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P06-002,P06,A,https://notebook.google.com/notebook/9b87f42f-e3f9-49ca-afb4-affe7c6259da,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P06/JEV-P06-002.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P06-003,P06,A,https://notebook.google.com/notebook/9b87f42f-e3f9-49ca-afb4-affe7c6259da,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P06/JEV-P06-003.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P06-004,P06,A,https://notebook.google.com/notebook/9b87f42f-e3f9-49ca-afb4-affe7c6259da,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P06/JEV-P06-004.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P06-005,P06,A,https://notebook.google.com/notebook/9b87f42f-e3f9-49ca-afb4-affe7c6259da,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P06/JEV-P06-005.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P06-006,P06,B,https://notebook.google.com/notebook/9b87f42f-e3f9-49ca-afb4-affe7c6259da,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P06/JEV-P06-006.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P06-007,P06,B,https://notebook.google.com/notebook/9b87f42f-e3f9-49ca-afb4-affe7c6259da,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P06/JEV-P06-007.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P06-008,P06,B,https://notebook.google.com/notebook/9b87f42f-e3f9-49ca-afb4-affe7c6259da,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P06/JEV-P06-008.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P06-009,P06,B,https://notebook.google.com/notebook/9b87f42f-e3f9-49ca-afb4-affe7c6259da,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P06/JEV-P06-009.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P06-010,P06,B,https://notebook.google.com/notebook/9b87f42f-e3f9-49ca-afb4-affe7c6259da,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P06/JEV-P06-010.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P06-011,P06,A,https://notebook.google.com/notebook/9b87f42f-e3f9-49ca-afb4-affe7c6259da,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P06/JEV-P06-011.md,2026-09-20,20/20,pendiente,pendiente,
